TIME,OPEN,CLOSE,HIGH,LOW,VOLUME
1679284860,1973.46,1973.74,1973.1,1973.73,547
1679284920,1973.73,1973.87,1973.4,1973.5,378
1679284980,1973.8,1973.85,1973.1,1973.54,295
1679285040,1973.45,1973.56,1973,1973.4,390
1679285100,1973.37,1973.49,1972.8,1972.9,508
1679285160,1973.12,1973.64,1972.8,1973.41,441
1679285220,1973.42,1973.87,1973,1973.79,422
1679285280,1973.85,1973.94,1973.2,1973.4,411
1679285340,1973.64,1973.71,1973,1973.2,391
1679285400,1973.51,1973.97,1973.1,1973.85,459
1679285460,1973.89,1974,1973.3,1973.61,367
1679285520,1973.4,1974.905,1973.4,1974.86,724
1679285580,1974.895,1974.97,1974.2,1974.2,748
1679285640,1974.495,1974.685,1973.9,1974.46,628
1679285700,1974.51,1974.68,1974,1974.51,851
1679285760,1974.53,1974.545,1973.6,1973.98,604
1679285820,1974,1974.1,1973.5,1974.03,313
1679285880,1974.04,1974.09,1973.6,1973.7,316
1679285940,1974.05,1974.12,1973.7,1974.09,246
1679286000,1974.04,1974.04,1973.5,1973.9,319
1679286060,1973.88,1973.96,1973.4,1973.82,227
1679286120,1973.82,1973.99,1973.3,1973.75,296
1679286180,1973.71,1973.85,1973.3,1973.78,264
1679286240,1973.78,1973.85,1973.2,1973.63,305
1679286300,1973.58,1973.72,1973.3,1973.68,193
1679286360,1973.68,1973.86,1973.1,1973.775,234
1679286420,1973.81,1973.92,1973.3,1973.5,312
1679286480,1973.73,1973.88,1973.2,1973.79,292
1679286540,1973.79,1974.44,1973.5,1974.17,503
1679286600,1974.17,1974.75,1973.8,1974,508
1679286660,1974.33,1974.74,1973.8,1974.4,549
1679286720,1974.64,1975.17,1974.4,1974.7,638
1679286780,1975.02,1975.21,1974.3,1974.64,584
1679286840,1974.63,1974.915,1974.3,1974.86,500
1679286900,1974.86,1975.235,1974.5,1975.07,714
1679286960,1975.07,1975.32,1974.4,1974.72,540
1679287020,1974.78,1974.89,1974.1,1974.5,840
1679287080,1974.54,1974.68,1973.9,1974.57,871
1679287140,1974.57,1974.61,1973.6,1974.36,810
1679287200,1974.37,1974.37,1972.7,1973.1,1361
1679287260,1973.36,1973.97,1972.8,1973.68,1137
1679287320,1973.74,1973.75,1973.1,1973.47,495
1679287380,1973.5,1973.76,1973,1973.66,442
1679287440,1973.69,1973.69,1972.8,1973.42,388
1679287500,1973.42,1973.89,1972.9,1973.85,453
1679287560,1973.85,1974.3,1973.4,1974.16,521
1679287620,1974.18,1974.44,1973.7,1974.37,662
1679287680,1974.37,1974.41,1973.8,1974.23,333
1679287740,1974.24,1974.29,1973.6,1974.08,521
1679287800,1974.1,1974.27,1973.6,1974.215,428
1679287860,1974.25,1974.48,1973.8,1974.4,527
1679287920,1974.385,1974.7,1973.9,1974.64,361
1679287980,1974.67,1975.22,1974.3,1974.95,574
1679288040,1974.94,1975.21,1974.4,1974.9,509
1679288100,1975.2,1975.42,1974.7,1975.28,625
1679288160,1975.34,1975.37,1974.7,1974.8,520
1679288220,1975.12,1975.24,1974.5,1975,361
1679288280,1974.98,1975.48,1974.6,1975.27,570
1679288340,1975.27,1975.3,1974.5,1974.79,591
1679288400,1974.745,1975.09,1974.2,1975.01,665
1679288460,1974.7,1975.26,1974.6,1975.015,557
1679288520,1975.048,1975.38,1974.6,1975.24,454
1679288580,1975.22,1975.49,1974.8,1975.32,584
1679288640,1975.28,1975.37,1974.9,1975.21,530
1679288700,1975.24,1975.34,1974.4,1974.66,492
1679288760,1974.68,1975.08,1974.2,1974.92,475
1679288820,1974.94,1975.25,1974.7,1974.96,434
1679288880,1974.94,1975.12,1974.5,1974.89,507
1679288940,1974.86,1975.13,1974.3,1974.98,531
1679289000,1974.98,1975.37,1974.5,1975.32,422
1679289060,1975.33,1975.4,1974.4,1974.83,541
1679289120,1974.83,1974.9,1974.1,1974.82,585
1679289180,1974.85,1975.04,1974.5,1974.94,378
1679289240,1974.91,1974.95,1974.4,1974.5,323
1679289300,1974.558,1974.82,1974,1974.43,395
1679289360,1974.305,1974.68,1974.1,1974.56,468
1679289420,1974.435,1974.71,1974,1974.64,390
1679289480,1974.65,1974.69,1974.1,1974.3,330
1679289540,1974.6,1974.65,1974.2,1974.6,291
1679289600,1974.64,1975.4,1974.3,1975,528
1679289660,1975.33,1975.43,1974.7,1975.11,547
1679289720,1975.14,1975.17,1974.6,1975.02,385
1679289780,1975.05,1975.46,1974.5,1974.89,424
1679289840,1974.6,1975.05,1974.4,1974.88,358
